,KIC,KOI,Kepler,Period,Rp
13,6521045,41.01, Kepler-100 c  ,12.81590514,2.269
14,6521045,41.02, Kepler-100 b  ,6.88707653,1.27
15,6521045,41.03, Kepler-100 d  ,35.333574,1.528
23,6850504,70.01, Kepler-20 c   ,10.85409146,2.815
24,6850504,70.02, Kepler-20 b   ,3.6961217,1.71
25,6850504,70.03, Kepler-20 d   ,77.6113425,2.503
26,6850504,70.04, Kepler-20 e   ,6.09854476,0.807
27,6850504,70.05, Kepler-20 f   ,19.57772139,0.868
32,10187017,82.01, Kepler-102 e  ,16.14567465,2.175
33,10187017,82.02, Kepler-102 d  ,10.31172605,1.177
34,10187017,82.03, Kepler-102 f  ,27.45362377,0.833
35,10187017,82.04, Kepler-102 c  ,7.07134469,0.575
36,10187017,82.05, Kepler-102 b  ,5.28689179,0.461
37,10187017,82.06,               ,22.4100071,0.601
39,5866724,85.01, Kepler-65 c   ,5.8599363,2.619
40,5866724,85.02, Kepler-65 b   ,2.15490986,1.46
41,5866724,85.03, Kepler-65 d   ,8.13120523,1.539
46,6462863,94.01, Kepler-89 d   ,22.34295404,10.242
47,6462863,94.02, Kepler-89 c   ,10.42367242,3.859
48,6462863,94.03, Kepler-89 e   ,54.32005919,6.105
49,6462863,94.04, Kepler-89 b   ,3.74315826,1.596
62,6678383,111.01, Kepler-104 b  ,11.42754491,2.375
63,6678383,111.02, Kepler-104 c  ,23.66832881,2.265
64,6678383,111.03, Kepler-104 d  ,51.75535987,2.63
67,9579641,115.01, Kepler-105 b  ,5.41220432,2.522
68,9579641,115.02, Kepler-105 c  ,7.1259213,1.431
69,9579641,115.03,               ,3.43589876,0.517
70,8395660,116.01, Kepler-106 c  ,13.57077256,2.384
71,8395660,116.02, Kepler-106 e  ,43.84443349,2.622
72,8395660,116.03, Kepler-106 b  ,6.16489698,0.795
73,8395660,116.04, Kepler-106 d  ,23.98008894,1.078
74,10875245,117.01, Kepler-107 e  ,14.74916437,2.996
75,10875245,117.02, Kepler-107 c  ,4.90143997,1.712
76,10875245,117.03, Kepler-107 b  ,3.18002806,1.585
77,10875245,117.04, Kepler-107 d  ,7.95826316,1.019
92,8644288,137.01, Kepler-18 c   ,7.64156004,4.212
93,8644288,137.02, Kepler-18 d   ,14.85892272,5.077
94,8644288,137.03, Kepler-18 b   ,3.5047162,1.589
100,5735762,148.01, Kepler-48 b   ,4.77800429,1.795
101,5735762,148.02, Kepler-48 c   ,9.67394317,2.537
102,5735762,148.03, Kepler-48 d   ,42.89631119,1.943
107,8394721,152.01, Kepler-79 d   ,52.0908098,7.102
108,8394721,152.02, Kepler-79 c   ,27.40222239,3.64
109,8394721,152.03, Kepler-79 b   ,13.48455808,3.399
110,8394721,152.04, Kepler-79 e   ,81.0636284,2.908
114,10925104,156.01, Kepler-114 c  ,8.04132617,1.742
115,10925104,156.02, Kepler-114 b  ,5.18856562,1.359
116,10925104,156.03, Kepler-114 d  ,11.77613082,2.713
117,6541920,157.01, Kepler-11 c   ,13.0249172,3.009
118,6541920,157.02, Kepler-11 d   ,22.68714058,3.374
119,6541920,157.03, Kepler-11 e   ,31.99551734,4.031
120,6541920,157.04, Kepler-11 f   ,46.68586636,2.638
121,6541920,157.05, Kepler-11 g   ,118.3785683,3.575
122,6541920,157.06, Kepler-11 b   ,10.30403028,1.929
131,11512246,168.01, Kepler-23 c   ,10.74246051,3.031
132,11512246,168.02, Kepler-23 d   ,15.27444881,2.15
133,11512246,168.03, Kepler-23 b   ,7.10694344,1.715
148,5972334,191.01, Kepler-487 b  ,15.35876634,11.105
149,5972334,191.02, Kepler-487 d  ,2.41840732,2.356
150,5972334,191.03,               ,0.70862073,1.255
151,5972334,191.04, Kepler-487 c  ,38.65214986,2.163
152,5972334,191.05,               ,6.02228169,1.297
187,4833421,232.01, Kepler-122 c  ,12.46600663,5.9
188,4833421,232.02, Kepler-122 b  ,5.76616198,2.387
189,4833421,232.03, Kepler-122 d  ,21.58716169,2.298
190,4833421,232.04, Kepler-122 e  ,37.99502171,2.526
191,4833421,232.05, Kepler-122 f  ,56.26000307,2.336
195,7219825,238.01, Kepler-123 b  ,17.23237226,3.026
196,7219825,238.02, Kepler-123 c  ,26.69546815,1.542
197,7219825,238.03,               ,362.9982898,2.139
201,11288051,241.01, Kepler-124 c  ,13.82141149,2.048
202,11288051,241.02, Kepler-124 d  ,30.95084894,1.285
203,11288051,241.03, Kepler-124 b  ,3.41044229,0.869
207,8478994,245.01, Kepler-37 d   ,39.79220971,1.937
208,8478994,245.02, Kepler-37 c   ,21.30180117,0.732
209,8478994,245.03, Kepler-37 b   ,13.36703858,0.345
213,5364071,248.01, Kepler-49 b   ,7.20386128,2.606
214,5364071,248.02, Kepler-49 c   ,10.91276664,2.325
215,5364071,248.03, Kepler-49 d   ,2.5765741,1.811
216,5364071,248.04, Kepler-49 e   ,18.59617273,1.777
218,9757613,250.01, Kepler-26 b   ,12.28301501,3.176
219,9757613,250.02, Kepler-26 c   ,17.25119579,2.741
220,9757613,250.03, Kepler-26 d   ,3.54390988,1.349
221,9757613,250.04, Kepler-26 e   ,46.82770316,2.366
231,8292840,260.01, Kepler-126 b  ,10.4956701,1.459
232,8292840,260.02, Kepler-126 d  ,100.2830677,2.643
233,8292840,260.03, Kepler-126 c  ,21.86964346,1.585
244,9451706,271.01, Kepler-127 d  ,48.63035512,2.568
245,9451706,271.02, Kepler-127 c  ,29.39325463,2.522
246,9451706,271.03, Kepler-127 b  ,14.43599649,1.447
256,12314973,279.01, Kepler-450 b  ,28.45491114,6.146
257,12314973,279.02, Kepler-450 c  ,15.41313164,2.655
258,12314973,279.03, Kepler-450 d  ,7.51430567,0.975
261,5088536,282.01, Kepler-130 c  ,27.50869526,2.889
262,5088536,282.02, Kepler-130 b  ,8.45738906,1.007
263,5088536,282.03, Kepler-130 d  ,87.51723509,1.333
264,5695396,283.01, Kepler-131 b  ,16.09195471,2.04
265,5695396,283.02, Kepler-131 c  ,25.51746034,0.824
266,5695396,283.03,               ,9.48820239,0.723
267,6021275,284.01, Kepler-132 d  ,18.01013824,1.394
268,6021275,284.02, Kepler-132 c  ,6.41490683,1.15
269,6021275,284.03, Kepler-132 b  ,6.1781812,1.056
270,6021275,284.04, Kepler-132 e  ,110.2872308,1.264
271,6196457,285.01, Kepler-92 b   ,13.74883666,3.652
272,6196457,285.02, Kepler-92 c   ,26.72313369,2.47
273,6196457,285.03, Kepler-92 d   ,49.35688702,2.02
302,7603200,314.01, Kepler-138 c  ,13.78108283,1.48
303,7603200,314.02, Kepler-138 d  ,23.08898942,1.321
304,7603200,314.03, Kepler-138 b  ,10.31305565,0.632
306,8008067,316.01, Kepler-139 b  ,15.77108417,2.426
307,8008067,316.02, Kepler-139 c  ,157.0658105,2.452
308,8008067,316.03,               ,7.30570359,1.701
329,10587105,339.01, Kepler-529 b  ,1.98035832,6.602
330,10587105,339.02, Kepler-529 c  ,12.83440399,6.626
331,10587105,339.03, Kepler-529 d  ,35.86596567,6.369
334,10982872,343.01, Kepler-142 c  ,4.76170798,2.453
335,10982872,343.02, Kepler-142 b  ,2.0241437,1.71
336,10982872,343.03, Kepler-142 d  ,41.80844303,1.528
343,11442793,351.01, Kepler-90 h   ,331.5973066,10.777
344,11442793,351.02, Kepler-90 g   ,210.7307044,7.614
345,11442793,351.03, Kepler-90 d   ,59.73725869,2.843
346,11442793,351.04, Kepler-90 e   ,91.9400901,2.623
347,11442793,351.05, Kepler-90 c   ,8.71984892,1.513
348,11442793,351.06, Kepler-90 b   ,7.00823625,1.286
349,11442793,351.07, Kepler-90 f   ,124.9218471,2.641
350,11442793,351.08, Kepler-90 i   ,14.44913641,1.11
353,11566064,353.01,               ,152.1058259,10.659
354,11566064,353.02, Kepler-1717 b ,30.65267777,2.536
355,11566064,353.03,               ,11.1619678,1.719
356,11568987,354.01, Kepler-534 b  ,15.95998603,2.186
357,11568987,354.02, Kepler-534 c  ,7.37862208,1.07
358,11568987,354.03,               ,27.13806099,0.921
374,3323887,377.01, Kepler-9 b    ,19.24631307,7.853
375,3323887,377.02, Kepler-9 c    ,38.95896893,7.783
376,3323887,377.03, Kepler-9 d    ,1.59296118,1.52
388,9946525,398.01, Kepler-148 d  ,51.84690672,8.619
389,9946525,398.02, Kepler-148 c  ,4.18004467,3.448
